sigma,escape_res,escape_vit,escape_gap
0.0,0.0,0.0,0.0
0.01,0.16326530612244897,0.198,-0.03473469387755104
0.02,0.24081632653061225,0.276,-0.03518367346938778
0.04,0.31020408163265306,0.314,-0.00379591836734694
0.06,0.31020408163265306,0.314,-0.00379591836734694
0.08,0.2938775510204082,0.32,-0.026122448979591817
0.1,0.29591836734693877,0.306,-0.010081632653061223
