sigma,escape_res,escape_vit,escape_gap,tte_res,tte_vit
0.0,0.0,0.0,0.0,,
0.01,0.49183673469387756,0.46,0.031836734693877544,2.7468879668049793,1.1652173913043478
0.02,0.5795918367346938,0.594,-0.01440816326530614,2.119718309859155,0.7441077441077442
0.04,0.6285714285714286,0.6,0.02857142857142858,1.8084415584415585,0.4866666666666667
0.06,0.6591836734693878,0.612,0.04718367346938779,1.5510835913312693,0.5359477124183006
0.08,0.6551020408163265,0.596,0.05910204081632653,1.5451713395638629,0.5234899328859061
0.1,0.6673469387755102,0.59,0.07734693877551024,1.7125382262996942,0.6745762711864407
